Job:akbars,Version:23.00,Units:Metres
PP270,369664.101,6190829.235,?,
PP271,369674.051,6190830.233,?,
PP272,369684.001,6190831.231,?,
PP273,369693.951,6190832.230,?,
PP274,369703.901,6190833.228,?,
PP275,369713.851,6190834.226,?,
PP276,369723.801,6190835.225,?,
PP277,369733.751,6190836.223,?,
PP278,369743.701,6190837.221,?,
PP279,369753.651,6190838.220,?,
PP280,369763.601,6190839.218,?,
PP281,369773.551,6190840.216,?,
PP282,369783.501,6190841.214,?,
PP283,369793.451,6190842.213,?,
PP284,369803.401,6190843.211,?,
PP285,369813.351,6190844.209,?,
PP286,369823.301,6190845.208,?,
PP287,369825.512,6190845.429,?,
PP301,369240.636,6190964.727,?,
PP302,369249.629,6190960.354,?,
PP303,369258.622,6190955.980,?,
PP304,369267.615,6190951.606,?,
PP305,369276.608,6190947.233,?,
PP306,369285.600,6190942.859,?,
PP307,369294.593,6190938.485,?,
PP308,369303.586,6190934.112,?,
PP309,369312.579,6190929.738,?,
PP310,369321.572,6190925.364,?,
PP311,369330.565,6190920.991,?,
PP312,369339.557,6190916.617,?,
PP313,369348.550,6190912.243,?,
PP314,369357.543,6190907.870,?,
PP315,369366.536,6190903.496,?,
PP316,369375.529,6190899.122,?,
PP317,369384.522,6190894.749,?,
PP318,369393.514,6190890.375,?,
PP319,369402.507,6190886.001,?,
PP320,369411.500,6190881.628,?,
PP321,369420.493,6190877.254,?,
PP322,369429.486,6190872.880,?,
PP323,369438.479,6190868.507,?,
PP324,369447.471,6190864.133,?,
PP325,369456.464,6190859.759,?,
PP326,369465.457,6190855.386,?,
PP327,369474.450,6190851.012,?,
PP328,369483.443,6190846.638,?,
PP329,369492.436,6190842.265,?,
PP330,369501.428,6190837.891,?,
PP331,369510.421,6190833.517,?,
PP332,369519.414,6190829.144,?,
PP333,369528.407,6190824.770,?,
PP334,369537.400,6190820.396,?,
PP335,369546.393,6190816.022,?,
PP336,369555.385,6190811.649,?,
PP337,369564.378,6190807.275,?,
PP338,369573.371,6190802.901,?,
PP339,369582.364,6190798.528,?,
PP340,369591.357,6190794.154,?,
PP341,369600.350,6190789.780,?,
PP342,369609.342,6190785.407,?,
PP343,369618.335,6190781.033,?,
PP344,369627.328,6190776.659,?,
PP345,369636.321,6190772.286,?,
PP346,369645.314,6190767.912,?,
PP347,369654.307,6190763.538,?,
PP348,369663.299,6190759.165,?,
PP349,369672.292,6190754.791,?,
PP350,369681.285,6190750.417,?,
PP351,369690.278,6190746.044,?,
PP352,369699.271,6190741.670,?,
PP353,369708.263,6190737.296,?,
PP354,369711.665,6190735.642,?,
b002,369036.229,6190822.386,90.116,
b003,369280.907,6190865.370,90.772,
b001,369008.115,6190786.579,89.928,
RTCM0000,382073.690,6184392.700,91.368,
PP235-5m,369316.348,6190789.320,?,
PP233-5m,369296.448,6190787.323,?,
KZN2,382076.325,6184395.444,94.497,12374M001
proba,382083.356,6184433.286,80.396,
probb,382086.909,6184433.752,80.205,
n001,369062.098,6190839.332,93.835,
n002,369108.942,6190864.297,94.127,
n003,369152.649,6190854.728,94.297,
n004,369237.296,6190856.135,94.406,
n005,369321.167,6190867.119,94.784,
n006,369379.911,6190867.454,94.866,
n007,369431.723,6190879.220,95.675,
n008,369475.317,6190888.935,95.450,
n009,369516.436,6190860.311,95.621,
n010,369595.872,6190883.346,97.472,
n011,369643.576,6190890.979,97.894,
n012,369671.602,6190899.463,97.548,
n013,369703.985,6190904.994,97.473,
n014,369753.792,6190907.779,96.801,
n015,369786.677,6190906.217,96.270,
n016,369780.626,6190890.288,96.067,
n018,369817.798,6190845.578,97.159,
n019,369828.402,6190842.800,95.988,
n020,369733.487,6190851.961,96.756,
n021,369704.158,6190829.922,96.602,
n022,369668.795,6190831.314,96.695,
n023,369631.582,6190819.449,96.830,
n024,369603.165,6190823.382,96.454,
n025,369566.368,6190813.740,96.396,
n026,369512.115,6190801.838,95.367,
n027,369445.357,6190809.214,95.170,
n028,369393.726,6190816.503,95.100,
n029,369384.562,6190809.038,95.253,
n030,369371.545,6190801.086,95.322,
n031,369340.804,6190800.571,95.043,
n032,369303.720,6190792.807,95.038,
s006,369206.645,6190783.967,94.089,
s005,369136.465,6190776.241,93.789,
r003,369103.741,6190787.613,93.845,
r002,369076.997,6190778.271,93.960,
s004,369040.534,6190767.698,94.100,
n033,369239.240,6190964.916,94.947,
n034,369270.174,6190953.100,94.918,
n035,369281.527,6190868.955,94.622,
n036,369312.368,6190925.671,95.072,
n037,369348.937,6190905.257,94.996,
n038,369388.542,6190893.565,95.252,
n039,369403.710,6190887.363,95.284,
n040,369454.636,6190865.179,95.321,
n041,369472.920,6190844.966,95.237,
n042,369489.814,6190830.813,95.151,
n043,369586.041,6190782.630,96.620,
n044,369632.730,6190763.366,97.135,
n045,369679.805,6190749.478,97.742,
n046,369706.141,6190740.335,97.895,
fact101,368977.224,6190840.427,94.789,
fact102,368989.682,6190841.393,94.375,
fact103,368999.576,6190842.186,93.880,
fact104,369009.778,6190843.194,93.985,
fact106,369029.500,6190844.646,93.976,
fact108,369048.916,6190846.502,93.914,
fact107,369039.553,6190845.700,93.850,
fact105,369022.377,6190844.557,93.974,
fact109,369059.423,6190847.618,93.532,
fact110,369068.954,6190848.293,93.495,
fact111,369079.344,6190848.710,93.857,
fact112,369089.194,6190850.272,93.941,
fact113,369099.401,6190850.129,93.962,
fact114,369107.048,6190850.958,93.978,
fact115,369119.097,6190852.720,93.983,
fact116,369128.970,6190853.824,94.177,
fact117,369139.103,6190853.934,94.118,
fact118,369149.102,6190854.822,94.183,
fact119,369159.020,6190855.559,94.245,
fact120,369168.915,6190856.413,94.224,
fact121,369178.743,6190856.996,94.336,
fact122,369188.889,6190857.846,94.385,
fact123,369198.988,6190858.717,94.394,
fact124,369208.921,6190859.422,94.366,
fact125,369218.463,6190859.969,94.495,
fact126,369228.745,6190860.885,94.352,
opora,369284.041,6190865.811,94.474,
fact127,369238.735,6190862.604,94.372,
fact128,369250.032,6190863.732,94.224,
fact129,369258.561,6190864.312,94.450,
fact130,369269.463,6190865.471,94.427,
fact131,369278.393,6190866.364,94.488,
fact132,369288.484,6190866.850,94.531,
fact133,369298.522,6190867.629,94.536,
