For M5|Adr    56|KD1     N039      25.0 C  1   1|Rb        1.70661 m   |HD         14.523 m   |                      | 
For M5|Adr    57|KD1     N007      25.0 C  1   1|Rf        1.35258 m   |HD         14.644 m   |                      | 
For M5|Adr    58|KD1     N007      25.0 C  1   1|Rf        1.35248 m   |HD         14.640 m   |                      | 
For M5|Adr    59|KD1     N039      25.0 C  1   1|Rb        1.70651 m   |HD         14.519 m   |                      | 
For M5|Adr    60|KD1     N007      25.0 C      1|                      |                      |Z       100.70153 m   | 
For M5|Adr    61|KD1     N040      24.0 C  1   1|Rf        1.86083 m   |HD         13.365 m   |                      | 
For M5|Adr    62|KD1     N007      24.0 C  1   1|Rb        1.52510 m   |HD         13.547 m   |                      | 
For M5|Adr    63|KD1     N007      24.0 C  1   1|Rb        1.52514 m   |HD         13.546 m   |                      | 
For M5|Adr    64|KD1     N040      24.0 C  1   1|Rf        1.86102 m   |HD         13.356 m   |                      | 
For M5|Adr    65|KD1     N040      24.0 C      1|                      |                      |Z       100.36573 m   | 
For M5|Adr    66|KD1     N040      24.0 C  1   1|Rb        1.50944 m   |HD         13.781 m   |                      | 
For M5|Adr    67|KD1     N041      24.0 C  1   1|Rf        1.60625 m   |HD         13.440 m   |                      | 
For M5|Adr    68|KD1     N041      24.0 C  1   1|Rf        1.60622 m   |HD         13.450 m   |                      | 
For M5|Adr    69|KD1     N040      24.0 C  1   1|Rb        1.50942 m   |HD         13.781 m   |                      | 
For M5|Adr    70|KD1     N041      24.0 C      1|                      |                      |Z       100.26892 m   | 
For M5|Adr    71|KD1     N042      24.0 C  1   1|Rf        1.58506 m   |HD         15.838 m   |                      | 
For M5|Adr    72|KD1     N041      24.0 C  1   1|Rb        1.53833 m   |HD         15.453 m   |                      | 
For M5|Adr    73|KD1     N041      24.0 C  1   1|Rb        1.53850 m   |HD         15.461 m   |                      | 
For M5|Adr    74|KD1     N042      24.0 C  1   1|Rf        1.58519 m   |HD         15.833 m   |                      | 
For M5|Adr    75|KD1     N042      24.0 C      1|                      |                      |Z       100.22221 m   | 
For M5|Adr    76|KD1     N042      24.0 C  1   1|Rb        1.79687 m   |HD         18.153 m   |                      | 
For M5|Adr    77|KD1     N026      24.0 C  1   1|Rf        1.57652 m   |HD         18.416 m   |                      | 
For M5|Adr    78|KD1     N026      24.0 C  1   1|Rf        1.57658 m   |HD         18.421 m   |                      | 
For M5|Adr    79|KD1     N042      24.0 C  1   1|Rb        1.79678 m   |HD         18.153 m   |                      | 
For M5|Adr    80|KD1     N026      24.0 C      1|                      |                      |Z       100.44249 m   | 
For M5|Adr    81|KD1     N027##### 24.0 C  1   1|Rf        1.26818 m   |HD         27.914 m   |                      | 
For M5|Adr    82|TO  Measurement repeated      1|                      |                      |                      | 
For M5|Adr    83|KD1     N025      24.0 C  1   1|Rf        1.26806 m   |HD         27.924 m   |                      | 
For M5|Adr    84|KD1     N026      24.0 C  1   1|Rb        2.28625 m   |HD         27.906 m   |                      | 
For M5|Adr    85|KD1     N026      24.0 C  1   1|Rb        2.28614 m   |HD         27.920 m   |                      | 
For M5|Adr    86|KD1     N025      24.0 C  1   1|Rf        1.26830 m   |HD         27.922 m   |                      | 
For M5|Adr    87|KD1     N025      24.0 C      1|                      |                      |Z       101.46050 m   | 
