201,368975.932,6190760.635,91.873,
202,368987.776,6190761.433,92.002,
203,368998.000,6190762.404,92.015,
204,369007.761,6190763.524,91.960,
205,369017.611,6190764.452,91.714,
206,369027.528,6190765.418,91.688,
207,369037.783,6190766.320,92.096,
208,369047.589,6190767.423,92.252,
209,369057.439,6190768.209,92.258,
210,369067.339,6190769.449,92.180,
211,369077.931,6190770.652,92.409,
212,369087.061,6190771.329,92.036,
213,369096.720,6190772.373,91.860,
214,369106.858,6190773.421,91.803,
215,369116.838,6190774.460,91.753,
216,369126.793,6190775.281,91.704,
217,369136.815,6190776.265,91.694,
218,369146.934,6190777.107,91.761,
219,369156.517,6190778.388,91.821,
220,369166.730,6190779.219,91.786,
221,369176.674,6190780.457,92.030,
222,369186.518,6190781.075,92.054,
1201,368975.930,6190760.639,91.874,
1202,368987.774,6190761.433,92.002,
1203,368997.994,6190762.411,92.020,
1204,369007.752,6190763.536,91.963,
1205,369017.607,6190764.455,91.715,
1206,369027.528,6190765.418,91.688,
1207,369037.790,6190766.323,92.097,
1208,369047.590,6190767.427,92.252,
1209,369057.437,6190768.208,92.258,
1210,369067.339,6190769.448,92.180,
1211,369077.935,6190770.649,92.408,
1212,369087.063,6190771.321,92.037,
1213,369096.718,6190772.370,91.860,
1214,369106.860,6190773.426,91.803,
1215,369116.838,6190774.463,91.753,
1216,369126.796,6190775.282,91.705,
1217,369136.817,6190776.269,91.694,
1218,369146.938,6190777.105,91.762,
1219,369156.523,6190778.385,91.820,
1220,369166.698,6190779.230,91.782,
1221,369176.682,6190780.440,92.028,
1222,369186.523,6190781.068,92.054,
