B001,0.0000,0.0000,89.9280,
B002,0.0000,0.0000,90.1130,
N001,0.0000,0.0000,90.0578,
N002,0.0000,0.0000,90.3492,
N003,0.0000,0.0000,90.4757,
N004,0.0000,0.0000,90.6434,
N005,0.0000,0.0000,91.0372,
N006,0.0000,0.0000,91.0988,
N007,0.0000,0.0000,91.8998,
N008,0.0000,0.0000,91.7054,
N009,0.0000,0.0000,91.8644,
N010,0.0000,0.0000,93.7206,
N011,0.0000,0.0000,94.1524,
N012,0.0000,0.0000,93.7660,
N013,0.0000,0.0000,93.7041,
N014,0.0000,0.0000,93.0645,
N015,0.0000,0.0000,92.5729,
N016,0.0000,0.0000,92.3303,
N018,0.0000,0.0000,93.4284,
N019,0.0000,0.0000,92.2249,
N020,0.0000,0.0000,92.9767,
N021,0.0000,0.0000,92.8181,
N022,0.0000,0.0000,92.9390,
N023,0.0000,0.0000,93.0878,
N024,0.0000,0.0000,92.6700,
N025,0.0000,0.0000,92.6587,
N026,0.0000,0.0000,91.6407,
N027,0.0000,0.0000,91.4700,
N028,0.0000,0.0000,91.3537,
N029,0.0000,0.0000,91.4899,
N030,0.0000,0.0000,91.5778,
N031,0.0000,0.0000,91.3064,
N032,0.0000,0.0000,91.3032,
S006,0.0000,0.0000,90.3407,
S005,0.0000,0.0000,90.0166,
R003,0.0000,0.0000,90.1157,
R002,0.0000,0.0000,90.2318,
S004,0.0000,0.0000,90.4008,
B003,0.0000,0.0000,90.7824,
N033,0.0000,0.0000,91.1980,
N034,0.0000,0.0000,91.1706,
N035,0.0000,0.0000,90.8750,
B003,0.0000,0.0000,90.7824,
N036,0.0000,0.0000,91.3118,
N037,0.0000,0.0000,91.2511,
N038,0.0000,0.0000,91.5054,
N039,0.0000,0.0000,91.5456,
N007,0.0000,0.0000,91.8998,
N040,0.0000,0.0000,91.5638,
N041,0.0000,0.0000,91.4671,
N042,0.0000,0.0000,91.4202,
N026,0.0000,0.0000,91.6407,
N025,0.0000,0.0000,92.6587,
N043,0.0000,0.0000,92.9177,
N044,0.0000,0.0000,93.4313,
N045,0.0000,0.0000,93.9995,
N046,0.0000,0.0000,94.1381,
